X(mm)	Peak	CWHM(nm)	Peak lambda	FWHM(nm)	File
0.0	2.85	6.7571	6.7509	0.1101	rxo000843
1.0	11.29	6.7067	6.7011	0.1036	rxo000844
2.0	11.72	6.6254	6.6209	0.0968	rxo000845
3.0	11.94	6.5530	6.5512	0.0812	rxo000846
4.0	8.27	6.5141	6.5010	0.0780	rxo000847
5.0	4.23	6.4975	6.4811	0.0622	rxo000848
6.0	2.18	6.3316	6.2973	0.3540	rxo000849
7.0	1.71	6.1677	6.1055	0.2753	rxo000850
8.0	1.78	6.0161	5.9963	0.1790	rxo000851
9.0	2.21	5.9010	5.8899	0.1380	rxo000852
10.0	2.19	5.8020	5.7914	0.1518	rxo000853
11.0	2.66	5.6808	5.6710	0.1162	rxo000854
12.0	3.22	5.5787	5.5709	0.1093	rxo000855
13.0	3.37	5.4751	5.4709	0.1079	rxo000856
14.0	3.27	5.3745	5.3710	0.1065	rxo000857
15.0	3.25	5.2690	5.2612	0.0989	rxo000858
16.0	3.66	5.1674	5.1610	0.0862	rxo000859
23.0	2.71	4.4010	4.3974	0.0880	rxo000804
24.0	2.28	4.3108	4.3060	0.0977	rxo000805
25.0	2.11	4.1985	4.1942	0.0874	rxo000806
26.0	2.20	4.0890	4.0857	0.0784	rxo000807
27.0	2.23	3.9823	3.9806	0.0711	rxo000808
28.0	2.16	3.8776	3.8752	0.0663	rxo000809
29.0	1.97	3.7770	3.7752	0.0640	rxo000810
30.0	1.83	3.6741	3.6752	0.0619	rxo000811
31.0	1.64	3.5703	3.5702	0.0603	rxo000812
32.0	1.42	3.4666	3.4702	0.0587	rxo000813
33.0	1.17	3.3642	3.3652	0.0572	rxo000814
34.0	0.91	3.2632	3.2652	0.0564	rxo000815
35.0	0.63	3.1684	3.1703	0.0573	rxo000816
36.0	0.25	3.0748	3.0977	0.0790	rxo000817
