X(mm)	Peak	CWHM(nm)	Peak lambda	FWHM(nm)	File
13.0	0.01	0.000	2.750	0.000	rxo000429
14.0	0.33	2.797	2.800	0.035	rxo000430
15.0	0.45	2.909	2.910	0.037	rxo000431
16.0	0.42	3.024	3.030	0.047	rxo000432
17.0	1.46	3.143	3.145	0.035	rxo000433
18.0	1.75	3.255	3.260	0.038	rxo000434
19.0	2.04	3.367	3.370	0.040	rxo000435
20.0	2.33	3.479	3.485	0.042	rxo000436
21.0	2.62	3.593	3.600	0.045	rxo000437
22.0	2.87	3.705	3.710	0.047	rxo000438
23.0	2.89	3.817	3.820	0.050	rxo000439
24.0	3.08	3.930	3.935	0.052	rxo000440
25.0	3.03	4.043	4.050	0.056	rxo000441
26.0	2.56	4.157	4.160	0.065	rxo000442
27.0	3.46	4.282	4.285	0.057	rxo000443
28.0	4.32	4.392	4.400	0.064	rxo000444
29.0	4.15	4.508	4.513	0.068	rxo000445
30.0	4.07	4.620	4.626	0.072	rxo000446
31.0	4.01	4.730	4.735	0.076	rxo000447
32.0	3.99	4.837	4.843	0.079	rxo000448
33.0	4.16	4.950	4.954	0.083	rxo000449
34.0	4.27	5.073	5.080	0.085	rxo000403
35.0	4.03	5.183	5.190	0.090	rxo000404
36.0	3.78	5.292	5.301	0.098	rxo000405
37.0	3.54	5.402	5.410	0.105	rxo000406
38.0	3.31	5.509	5.510	0.112	rxo000407
39.0	2.98	5.616	5.620	0.119	rxo000408
40.0	2.21	5.717	5.719	0.140	rxo000409
41.0	1.85	5.829	5.834	0.159	rxo000410
42.0	1.50	5.929	5.931	0.164	rxo000411
43.0	1.02	6.047	6.041	0.245	rxo000412
44.0	0.93	6.214	6.164	0.347	rxo000413
45.0	2.27	6.332	6.330	0.139	rxo000414
46.0	2.75	6.459	6.387	0.276	rxo000415
47.0	8.84	6.565	6.560	0.067	rxo000416
48.0	13.31	6.617	6.620	0.080	rxo000417
49.0	6.29	6.665	6.680	0.119	rxo000418
50.0	0.08	6.645	6.650	0.128	rxo000419
51.0	0.01	7.644	6.672	2.055	rxo000420
