# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: eV, datatype: float64}
# - {name: '0.1', datatype: float64}
# - {name: '0.2', datatype: float64}
# - {name: '0.4', datatype: float64}
# - {name: '0.5', datatype: float64}
# - {name: '0.6', datatype: float64}
# - {name: '0.7', datatype: float64}
# - {name: '0.8', datatype: float64}
# - {name: '0.9', datatype: float64}
# - {name: '1.', datatype: float64}
# - {name: '1.2', datatype: float64}
# - {name: '1.4', datatype: float64}
# - {name: '1.6', datatype: float64}
# - {name: '1.8', datatype: float64}
# - {name: '2.', datatype: float64}
# - {name: '2.2', datatype: float64}
# - {name: '2.4', datatype: float64}
# - {name: '2.6', datatype: float64}
# - {name: '2.8', datatype: float64}
# meta: !!omap
# - {CREATOR: Moritz Guenther/MIT}
# - {HENKE: 'Ir Rho=22.42, Sig=0.nm, P=0.'}
# - {NOTES: Retrieved from CXRO online query form henke}
# schema: astropy-2.0
energy 0.1 0.2 0.4 0.5 0.6 0.7 0.8 0.9 1. 1.2 1.4 1.6 1.8 2. 2.2 2.4 2.6 2.8
200.0 0.984894 0.970014 0.940911 0.926676 0.912646 0.898816 0.885181 0.871737 0.858478 0.832502 0.80722 0.782601 0.758618 0.735241 0.712448 0.690213 0.668515 0.647332
223.6 0.983654 0.967573 0.936178 0.920852 0.905764 0.89091 0.876283 0.861878 0.84769 0.819943 0.793003 0.766834 0.741401 0.716673 0.692619 0.669212 0.646426 0.624237
247.2 0.983221 0.96672 0.934527 0.918821 0.903365 0.888154 0.873182 0.858442 0.843929 0.815563 0.788041 0.761323 0.735374 0.710158 0.685646 0.661806 0.638612 0.616038
270.8 0.983001 0.966288 0.933689 0.917788 0.902143 0.886747 0.871594 0.856677 0.841991 0.813287 0.785436 0.758398 0.732134 0.706609 0.681789 0.657643 0.634142 0.611261
294.4 0.982615 0.965528 0.932217 0.915976 0.900001 0.884285 0.86882 0.853601 0.838619 0.809346 0.780952 0.753394 0.726629 0.700621 0.675332 0.650731 0.626787 0.603472
318.0 0.982063 0.964444 0.930121 0.913399 0.896958 0.88079 0.864887 0.849242 0.833848 0.803783 0.774639 0.746368 0.718925 0.692268 0.666358 0.641161 0.616644 0.592777
341.6 0.981526 0.963389 0.928082 0.910893 0.894 0.877396 0.86107 0.845015 0.829223 0.798397 0.768535 0.739585 0.711496 0.684225 0.657731 0.631975 0.606923 0.582543
365.2 0.981248 0.962843 0.927027 0.909595 0.892467 0.875633 0.859085 0.842813 0.826808 0.795572 0.765315 0.735981 0.70752 0.679884 0.653031 0.62692 0.601517 0.576788
388.8 0.981009 0.962373 0.926119 0.908477 0.891145 0.874112 0.85737 0.840907 0.824716 0.793115 0.762502 0.732819 0.704013 0.676033 0.648836 0.622379 0.596627 0.571545
412.4 0.980792 0.961948 0.925295 0.907463 0.889946 0.872732 0.855812 0.839176 0.822814 0.790878 0.759937 0.72993 0.700799 0.672495 0.644971 0.618184 0.592095 0.56667
436.0 0.980786 0.961935 0.925266 0.907424 0.889894 0.872665 0.855727 0.839069 0.822682 0.790684 0.759663 0.729556 0.700306 0.671859 0.644169 0.617191 0.590886 0.565219
459.6 0.980682 0.961731 0.924868 0.906931 0.889307 0.871985 0.854952 0.838199 0.821716 0.78952 0.758291 0.727963 0.698477 0.669778 0.641816 0.614546 0.587929 0.561926
